observation_id,date,year,latitude,longitude,accuracy_m,reliability,record_type,source_collection,province,grid_id
http://tun.fi/MHU.27880376,2009-08-08,2009,60.68618,23.847359,1.0,NEUTRAL,Observation,Hatikka.fi observations,Etelä-Häme (EH),ETRS-TM35FIN-10km-N6730000-E320000
http://tun.fi/MHU.28649739,2009-08-10,2009,60.358225,24.614146,1.0,NEUTRAL,Observation,National Butterfly Recording Scheme in Finland,Varsinais-Suomi (V),ETRS-TM35FIN-10km-N6690000-E360000
http://tun.fi/MHU.28649759,2009-08-11,2009,60.214967,24.785226,1.0,NEUTRAL,Observation,Hatikka.fi observations,Uusimaa (U),ETRS-TM35FIN-10km-N6670000-E370000
http://tun.fi/MHU.28675747,2009-09-02,2009,60.197291,24.765064,1.0,NEUTRAL,Observation,Hatikka.fi observations,Uusimaa (U),ETRS-TM35FIN-10km-N6670000-E370000
http://tun.fi/MHU.29856082,2010-08-23,2010,60.200152,23.889525,1.0,NEUTRAL,Observation,Hatikka.fi observations,Varsinais-Suomi (V),ETRS-TM35FIN-10km-N6670000-E320000
http://tun.fi/MHU.29837113,2010-08-29,2010,62.927981,29.706244,1.0,NEUTRAL,Observation,Hatikka.fi observations,Pohjois-Karjala (PK),ETRS-TM35FIN-10km-N6980000-E630000
http://tun.fi/MHU.29856000,2010-09-02,2010,60.409076,25.235169,1.0,NEUTRAL,Observation,Hatikka.fi observations,Uusimaa (U),ETRS-TM35FIN-10km-N6690000-E400000
http://tun.fi/KE.921/LGE.250682/486523,2010-09-09,2010,60.277802,25.173823,10.0,NEUTRAL,Observation,LajiGIS: Species mapping and surveys,Uusimaa (U),ETRS-TM35FIN-10km-N6680000-E390000
http://tun.fi/MHU.29857474,2010-09-12,2010,60.230801,24.79414,1.0,NEUTRAL,Observation,Hatikka.fi observations,Uusimaa (U),ETRS-TM35FIN-10km-N6670000-E370000
http://tun.fi/HR.3211/318440353-U,2010-09-14,2010,63.08096,25.84157,10.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Pohjois-Häme (PH),ETRS-TM35FIN-10km-N6990000-E440000
http://tun.fi/KE.8_1034427#2,2011-07-22 [8:55] - 2012-09-25 [18:03],2011,60.662751,23.609544,1.0,NEUTRAL,Photographed,Hatikka.fi observations,Etelä-Häme (EH),ETRS-TM35FIN-10km-N6730000-E310000
http://tun.fi/KE.8_1034427#3,2011-07-22 [8:55] - 2012-09-25 [18:03],2011,60.662751,23.609544,1.0,NEUTRAL,Photographed,Hatikka.fi observations,Etelä-Häme (EH),ETRS-TM35FIN-10km-N6730000-E310000
http://tun.fi/HR.3211/66217128-U,2011-08-18,2011,66.25997,25.21615,15.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Perä-Pohjanmaa (PeP),ETRS-TM35FIN-10km-N7350000-E410000
http://tun.fi/JX.139728#2,2011-08-26,2011,64.035311,23.427638,1.0,NEUTRAL,Photographed,The Atlas of Finnish Fungi,Keski-Pohjanmaa (KP),ETRS-TM35FIN-10km-N7100000-E320000
http://tun.fi/KE.8_1063645#2,2012-07-10,2012,60.5066,22.271314,1.0,NEUTRAL,Observation,Hatikka.fi observations,Varsinais-Suomi (V),ETRS-TM35FIN-10km-N6710000-E240000
http://tun.fi/KE.921/LGE.250699/487083,2012-07-22,2012,63.083975,29.815467,1.0,NEUTRAL,Observation,LajiGIS: Species mapping and surveys,Pohjois-Karjala (PK),ETRS-TM35FIN-10km-N6990000-E640000
http://tun.fi/KE.921/LGE.250701/487267,2012-07-27,2012,63.038606,28.49329,1.0,NEUTRAL,Observation,LajiGIS: Species mapping and surveys,Pohjois-Karjala (PK),ETRS-TM35FIN-10km-N6990000-E570000
http://tun.fi/KE.921/LGE.250701/487297,2012-07-27,2012,63.038319,28.492385,1.0,NEUTRAL,Observation,LajiGIS: Species mapping and surveys,Pohjois-Karjala (PK),ETRS-TM35FIN-10km-N6990000-E570000
http://tun.fi/KE.921/LGE.250702/487348,2012-07-28,2012,63.038506,28.483122,1.0,NEUTRAL,Observation,LajiGIS: Species mapping and surveys,Pohjois-Karjala (PK),ETRS-TM35FIN-10km-N6990000-E570000
http://tun.fi/KE.921/LGE.250702/487418,2012-07-28,2012,63.040225,28.491277,1.0,NEUTRAL,Observation,LajiGIS: Species mapping and surveys,Pohjois-Karjala (PK),ETRS-TM35FIN-10km-N6990000-E570000
http://tun.fi/KE.921/LGE.250655/485811,2012-08-03,2012,60.347176,25.212391,1.0,NEUTRAL,Observation,LajiGIS: Species mapping and surveys,Uusimaa (U),ETRS-TM35FIN-10km-N6690000-E400000
http://tun.fi/KE.921/LGE.250715/487646,2012-08-11,2012,63.107637,29.807526,10.0,NEUTRAL,Observation,LajiGIS: Species mapping and surveys,Pohjois-Karjala (PK),ETRS-TM35FIN-10km-N7000000-E640000
http://tun.fi/KE.921/LGE.250722/488114,2012-08-22,2012,63.055918,29.89421,10.0,NEUTRAL,Observation,LajiGIS: Species mapping and surveys,Pohjois-Karjala (PK),ETRS-TM35FIN-10km-N6990000-E640000
http://tun.fi/KE.921/LGE.971559/2681963,2012-08-22,2012,63.050254,29.904118,10.0,NEUTRAL,Seen,LajiGIS: Species mapping and surveys,Pohjois-Karjala (PK),ETRS-TM35FIN-10km-N6990000-E640000
http://tun.fi/KE.921/LGE.251484/493702,2012-09-03,2012,60.060555,22.733432,1.0,NEUTRAL,Observation,LajiGIS: Species mapping and surveys,Varsinais-Suomi (V),ETRS-TM35FIN-10km-N6660000-E260000
http://tun.fi/KE.921/LGE.251485/493764,2012-09-10,2012,60.596648,23.346299,1.0,NEUTRAL,Observation,LajiGIS: Species mapping and surveys,Etelä-Häme (EH),ETRS-TM35FIN-10km-N6720000-E290000
http://tun.fi/KE.921/LGE.251494/493845,2012-09-20,2012,60.573097,23.356065,1.0,NEUTRAL,Observation,LajiGIS: Species mapping and surveys,Etelä-Häme (EH),ETRS-TM35FIN-10km-N6720000-E300000
