sample_group	scientific_name	latitude_wgs84	longitude_wgs84	etrs_tm35fin_easting_m	etrs_tm35fin_northing_m	coordinate_accuracy_m	temp_mean_7d	temp_mean_14d	temp_mean_30d	temp_min_7d	temp_max_7d	rain_mean_7d	rain_mean_14d	rain_mean_30d	rainy_days_14d	event_year	event_month	day_of_year	Has Boletus edulis	longitude_partition
other_agaricoid	Pluteus petasatus	60.18103	19.53137	86290.223	6695016.036	10	15.9698	15.6048	16.5797	8.6091	21.4279	1.8773	1.8003	1.5118	6	2024	9	257	0	1
boletus_edulis	Boletus edulis	60.22178	19.61414	91370.429	6699018.126	244	10.018	10.0039	10.6649	3.4944	14.424	1.0	1.166	2.2917	9	2022	10	276	1	1
boletus_edulis	Boletus edulis	60.31188	19.93944	110395.39	6707039.248	10	12.9028	14.8211	17.2846	5.0902	20.569	3.5786	2.9089	2.9456	7	2025	8	236	1	1
other_agaricoid	Coprinopsis lagopus	60.31201	19.94077	110470.141	6707045.794	10	13.6232	13.263	15.5766	6.5461	19.5203	0.8303	2.2045	1.8127	8	2025	8	243	0	1
other_agaricoid	Leucoagaricus nympharum	60.068	20.262	125376.684	6678107.086	1	10.9413	11.4314	11.3128	5.2587	13.6059	3.1663	1.8502	1.8777	10	2022	10	289	0	1
boletus_edulis	Boletus edulis	60.09466	20.46448	136903.074	6679933.801	100	11.2051	11.8941	14.3922	6.555	16.0578	2.1509	1.2387	2.0332	5	2025	10	277	1	1
boletus_edulis	Boletus edulis	69.050837	20.801188	253015.387	7672523.451	1000	10.6888	11.8705	14.1062	4.2435	18.8813	4.7242	4.0416	4.1618	12	2025	8	230	1	1
other_agaricoid	Russula atroglauca	69.050837	20.801188	253015.387	7672523.451	1000	10.6888	11.8705	14.1062	4.2435	18.8813	4.7242	4.0416	4.1618	12	2025	8	230	0	1
boletus_edulis	Boletus edulis	69.046707	20.810464	253337.466	7672027.586	1000	10.6888	11.8705	14.1062	4.2435	18.8813	4.7242	4.0416	4.1618	12	2025	8	230	1	1
other_agaricoid	Lactarius salicis-herbaceae	69.007989	20.932471	257759.213	7667242.201	1000	14.1676	13.4969	12.0415	6.191	25.0255	2.6662	2.7529	1.9043	8	2023	8	226	0	1
boletus_edulis	Boletus edulis	60.507939	21.211813	182389.264	6721963.264	1	18.1875	17.1403	17.499	13.0007	24.6588	1.8405	1.2207	2.0021	6	2020	7	205	1	1
other_agaricoid	Strobilurus stephanocystis	60.506711	21.218799	182759.906	6721793.11	100	3.3289	4.4246	4.1874	-0.1747	7.4815	0.1377	0.3526	0.5204	5	2021	5	121	0	1
other_agaricoid	Lacrymaria lacrymabunda	60.83558	21.25202	187785.739	6758166.139	13	10.0118	10.8417	11.6167	3.7756	14.844	0.5702	2.2896	2.7583	7	2022	9	265	0	1
boletus_edulis	Boletus edulis	60.835206	21.26273	188362.804	6758073.596	1000	11.9114	13.1562	14.4407	6.9169	16.8025	2.2605	2.9016	1.8951	6	2017	9	253	1	1
boletus_edulis	Boletus edulis	60.60973	21.26815	186463.679	6733000.093	16	14.2061	13.4833	14.1947	9.1411	19.4756	3.9509	2.2136	2.3833	6	2020	9	270	1	1
other_agaricoid	Amanita porphyria	60.550609	21.294918	187353.851	6726304.751	1000	7.2333	7.4855	7.7208	2.7672	11.9513	2.8547	2.3767	2.4088	12	2019	10	294	0	1
boletus_edulis	Boletus edulis	60.15683	21.30004	183839.283	6682534.935	10	13.9552	13.8886	16.2929	10.293	17.1169	3.3761	2.6918	2.3885	11	2025	8	242	1	1
boletus_edulis	Boletus edulis	60.549723	21.30792	188056.617	6726144.514	1	13.3462	15.2262	17.8343	9.0219	18.9344	4.2389	3.175	2.8204	8	2025	8	236	1	1
other_agaricoid	Clitocybula platyphylla	61.06234	21.31357	193315.972	6783065.805	10	17.8948	17.933	17.5893	13.8771	21.3817	4.6255	3.279	1.7864	11	2023	8	218	0	1
boletus_edulis	Boletus edulis	60.283879	21.319021	186109.0	6696558.369	1000	5.6936	7.99	10.2456	2.4738	8.8357	1.3031	2.1377	2.5006	8	2019	10	282	1	1
other_agaricoid	Cortinarius obtusus	60.283879	21.319021	186109.0	6696558.369	1000	5.6936	7.99	10.2456	2.4738	8.8357	1.3031	2.1377	2.5006	8	2019	10	282	0	1
other_agaricoid	Marasmius epiphyllus	60.283879	21.319021	186109.0	6696558.369	1000	5.6936	7.99	10.2456	2.4738	8.8357	1.3031	2.1377	2.5006	8	2019	10	282	0	1
other_agaricoid	Pholiota lenta	60.623652	21.31919	189384.879	6734304.074	1000	7.0515	7.0906	7.7345	1.9975	12.0687	2.2679	1.7217	2.3695	13	2019	10	292	0	1
other_agaricoid	Mycena vulgaris	60.623652	21.31919	189384.879	6734304.074	1000	7.0515	7.0906	7.7345	1.9975	12.0687	2.2679	1.7217	2.3695	13	2019	10	292	0	1
boletus_edulis	Boletus edulis	62.08196	21.32295	203723.478	6896295.692	10	15.6007	15.2383	15.579	10.3642	19.837	0.0	2.9326	3.308	6	2023	9	255	1	1
other_agaricoid	Russula emetica	60.286918	21.325393	186489.619	6696865.634	1000	6.3418	8.0113	9.9962	2.5038	11.5704	0.3687	2.1983	2.4996	10	2019	10	283	0	1
boletus_edulis	Boletus edulis	60.184546	21.326884	185591.12	6685485.625	1000	15.3068	15.4736	15.7251	10.8453	19.1614	0.9441	1.1887	2.1714	6	2016	9	253	1	1
other_agaricoid	Crepidotus stenocystis	61.474294	21.354805	199502.99	6828640.056	1	16.3143	15.7929	16.1067	14.3	19.4	0.0	0.5164	1.3196	4	2013	9	253	0	1
boletus_edulis	Boletus edulis	60.36975	21.35645	188992.739	6705920.589	10	12.7909	12.8023	16.6181	9.0665	16.9127	0.0	0.0445	2.2294	2	2022	9	254	1	1
boletus_edulis	Boletus edulis	61.47699	21.35987	199798.116	6828916.213	197	15.3451	14.2199	15.2104	10.5706	22.3116	0.914	1.4779	1.8188	8	2025	9	249	1	1
boletus_edulis	Boletus edulis	62.28181	21.379	208576.066	6918243.935	170	14.4322	13.1222	14.0481	6.853	24.4831	2.8554	1.644	2.0125	8	2025	9	249	1	1
boletus_edulis	Boletus edulis	61.05872	21.38308	197023.758	6782339.508	10	17.3366	17.8425	18.3257	13.0723	22.4639	0.9618	3.0324	1.9236	10	2024	8	231	1	1
boletus_edulis	Boletus edulis	60.592031	21.387118	192791.994	6730471.489	10	18.7105	18.0736	17.3406	11.4096	26.6354	0.0242	0.3049	1.2962	4	2020	8	222	1	1
other_agaricoid	Hebeloma mesophaeum	60.594134	21.389061	192918.16	6730696.045	100	6.8682	6.81	6.7183	5.1192	8.7165	1.9012	1.2165	1.1352	12	2018	11	316	0	1
boletus_edulis	Boletus edulis	60.593233	21.389081	192910.685	6730595.85	10	10.8574	10.545	15.2105	3.5056	17.6137	0.0	0.024	2.9001	1	2022	9	255	1	1
other_agaricoid	Russula gracillima	60.593893	21.390068	192970.889	6730664.561	10	10.5934	11.0782	11.0094	3.4326	15.5427	0.7521	2.0942	1.2861	9	2022	9	270	0	1
boletus_edulis	Boletus edulis	61.953758	21.405065	206768.984	6881679.018	1	5.9429	8.3714	11.47	0.0	11.7	0.5563	0.3636	0.4262	6	2013	10	275	1	1
other_agaricoid	Psathyrella candolleana	61.955545	21.410491	207070.005	6881853.029	1	5.8571	8.2571	11.3767	0.0	11.5	0.554	0.3614	0.4249	6	2013	10	275	0	1
other_agaricoid	Crepidotus versutus	61.954071	21.41231	207151.023	6881681.044	1	5.9429	8.3714	11.47	0.0	11.7	0.5563	0.3636	0.4262	6	2013	10	275	0	1
other_agaricoid	Cortinarius evernius	62.3751	21.435092	212373.349	6928357.434	100	13.4148	12.7896	13.6656	1.4375	21.5202	2.5856	3.031	4.4684	8	2023	9	267	0	1
boletus_edulis	Boletus edulis	61.6076	21.44207	205407.243	6843051.645	498	15.5709	16.1384	17.0782	12.9003	18.6417	7.4533	4.667	3.1808	11	2023	9	245	1	1
boletus_edulis	Boletus edulis	61.60632	21.44866	205743.778	6842879.596	100	15.5956	16.1569	17.1431	12.7366	18.8073	7.5095	4.7029	3.2037	11	2023	9	245	1	1
other_agaricoid	Kuehneromyces mutabilis	62.90986	21.45846	218698.921	6987670.569	10	6.1539	6.2707	7.9073	0.1454	13.3883	0.2423	3.8091	2.725	10	2024	10	291	0	1
other_agaricoid	Hymenopellis radicata	61.13323	21.46204	201978.415	6790254.812	100	13.9583	15.4635	16.6017	8.1946	18.1312	6.6237	8.1902	5.5751	11	2021	8	236	0	1
other_agaricoid	Cantharellula umbonata	60.536931	21.466442	196609.994	6723980.98	10	14.3621	14.4677	15.9135	8.5221	20.7095	3.675	4.8493	3.3938	13	2021	8	242	0	1
other_agaricoid	Lactarius trivialis	61.189861	21.470162	202948.399	6796510.006	1000	10.3993	13.5171	16.6367	3.7461	17.7968	0.1504	2.3471	2.7798	5	2022	9	247	0	1
boletus_edulis	Boletus edulis	61.13259	21.47781	202819.636	6790111.865	10	16.5506	16.8936	17.0657	10.8879	21.7259	11.0529	6.2506	4.4376	8	2021	8	230	1	1
other_agaricoid	Leucocybe connata	61.12764	21.48113	202951.47	6789546.772	127	9.8085	8.9462	9.5679	2.9808	13.5851	0.4064	3.8699	2.6964	9	2024	10	295	0	1
other_agaricoid	Russula alnetorum	61.777067	21.483681	209210.072	6861693.543	1000	20.7239	18.6189	18.0006	11.7711	27.9332	3.5892	2.2989	3.0632	5	2022	8	231	0	1
other_agaricoid	Amanita muscaria	61.89174	21.48455	210340.451	6874431.132	10	15.0717	15.5394	15.6324	7.8834	20.4775	0.4266	0.2684	1.3143	4	2026	8	237	0	1
boletus_edulis	Boletus edulis	61.569158	21.490893	207628.303	6838560.113	1	8.6059	9.5389	13.1414	3.7812	13.3669	1.3351	2.6628	3.3364	8	2019	9	270	1	1
boletus_edulis	Boletus edulis	60.5484	21.49251	198143.932	6725135.226	10	16.826	17.354	17.6288	11.7914	22.2416	2.7536	1.4338	2.6488	7	2023	8	238	1	1
boletus_edulis	Boletus edulis	61.12883	21.49369	203637.547	6789621.955	10	13.3459	14.8875	16.0885	5.3248	19.3698	0.3253	1.0871	1.9183	6	2024	9	265	1	1
boletus_edulis	Boletus edulis	61.12849	21.49616	203767.081	6789572.975	100	15.5674	15.3371	15.7494	6.0963	22.1248	0.7038	0.8905	2.74	4	2023	9	258	1	1
boletus_edulis	Boletus edulis	60.9239	21.49672	201881.102	6766838.124	10	16.9417	17.04	17.69	8.5805	23.4854	1.2204	2.7907	2.1428	6	2024	8	234	1	1
boletus_edulis	Boletus edulis	62.970683	21.504697	221620.793	6994227.404	1	17.8265	17.2631	18.1073	11.9023	24.6932	2.6994	3.9497	4.7256	11	2024	8	225	1	1
other_agaricoid	Tricholoma focale	61.565933	21.526013	209458.821	6838044.451	1000	8.1988	9.1365	12.8466	2.8633	13.4505	1.3729	2.7221	3.3531	8	2019	9	270	0	1
other_agaricoid	Amanita muscaria	61.564642	21.527363	209518.27	6837894.974	1000	8.1988	9.1365	12.8466	2.8633	13.4505	1.3729	2.7221	3.3531	8	2019	9	270	0	1
boletus_edulis	Boletus edulis	61.565664	21.52961	209646.903	6837998.505	100	8.1988	9.1365	12.8466	2.8633	13.4505	1.3729	2.7221	3.3531	8	2019	9	270	1	1
boletus_edulis	Boletus edulis	61.565664	21.5307	209704.66	6837993.641	100	7.923	8.8526	12.6237	2.619	13.4707	1.3919	2.7505	3.3628	8	2019	9	270	1	1
other_agaricoid	Russula decolorans	61.55614	21.53399	209789.947	6836920.697	59	16.6426	15.211	15.3151	11.5589	22.1	0.6782	1.7948	2.5072	8	2026	8	215	0	1
boletus_edulis	Boletus edulis	61.68843	21.53807	211242.868	6851602.127	998	15.626	15.9285	15.8924	9.446	19.7333	0.493	0.7305	1.4264	7	2026	8	235	1	1
boletus_edulis	Boletus edulis	61.8493	21.5403	212865.852	6869467.629	19	14.8062	16.4341	15.4504	9.7992	21.6964	8.3605	4.5234	5.0949	7	2020	7	210	1	1
boletus_edulis	Boletus edulis	61.12421	21.54362	206277.581	6788883.137	10	15.8649	16.3374	17.2229	11.0918	22.2843	6.6136	3.8042	3.4722	10	2023	8	241	1	1
other_agaricoid	Sarcomyxa serotina	63.068646	21.566027	225644.934	7004848.956	10	10.1714	11.4429	11.3	5.5	15.2	2.4204	2.746	1.6233	10	2010	9	266	0	1
other_agaricoid	Tricholomopsis rutilans	61.536312	21.56603	211303.989	6834574.949	1	15.3	15.6643	16.3	9.9	20.1	0.2932	0.307	1.7109	3	2013	8	243	0	1
boletus_edulis	Boletus edulis	61.538307	21.566623	211353.979	6834794.002	1	15.2857	15.6429	16.2733	9.9	20.1	0.3032	0.3135	1.7158	3	2013	8	243	1	1
boletus_edulis	Boletus edulis	63.2429	21.5686	227417.313	7024201.491	1	12.5499	12.6758	13.8187	7.7597	16.8913	0.9875	2.0764	1.3001	10	2018	9	266	1	1
other_agaricoid	Phaeolepiota aurea	63.068756	21.571668	225930.272	7004837.08	1	10.0105	9.8489	13.9144	0.0872	15.8048	0.3296	1.3556	2.2005	6	2022	9	256	0	1
other_agaricoid	Amanita fulva	62.19949	21.58472	218455.937	6908185.748	10	9.5734	10.9513	13.2144	0.9044	20.0246	0.7814	2.7097	3.4482	5	2021	9	248	0	1
other_agaricoid	Lentinus ciliatus	62.983181	21.584767	225787.066	6995271.782	1	12.4749	13.1107	12.2642	5.7904	18.4448	4.0554	2.6655	2.3357	7	2025	6	174	0	1
boletus_edulis	Boletus edulis	61.408727	21.58538	211149.679	6820311.878	1000	16.2748	16.3295	16.3354	10.7744	22.1133	0.6361	0.8377	2.1941	6	2017	8	234	1	1
boletus_edulis	Boletus edulis	61.11363	21.58653	208486.218	6787515.343	100	13.6258	12.3209	14.6484	6.9821	19.9476	2.3818	2.2988	2.2675	11	2025	9	245	1	1
other_agaricoid	Lactarius mammosus	63.040472	21.589459	226561.563	7001618.192	10	14.4029	14.4836	15.079	7.7666	21.7315	0.9732	4.5974	3.2138	9	2023	9	252	0	1
other_agaricoid	Lepista nuda	60.251605	21.589928	200759.195	6691711.885	1	7.6044	7.3971	9.1805	3.3226	11.0566	1.9955	2.7029	2.4126	10	2019	10	285	0	1
boletus_edulis	Boletus edulis	61.11159	21.59006	208657.208	6787272.914	100	12.8188	14.173	15.5123	6.4293	17.3397	5.311	8.39	4.7783	12	2021	8	239	1	1
other_agaricoid	Baeospora myosura	60.250838	21.590239	200769.363	6691625.244	1	7.6044	7.3971	9.1805	3.3226	11.0566	1.9955	2.7029	2.4126	10	2019	10	285	0	1
other_agaricoid	Pseudolaccaria pachyphylla	60.250757	21.590509	200783.535	6691615.017	1	7.6044	7.3971	9.1805	3.3226	11.0566	1.9955	2.7029	2.4126	10	2019	10	285	0	1
other_agaricoid	Macrotyphula fistulosa	63.057689	21.592203	226861.443	7003519.745	1	6.249	7.8774	10.7726	-0.5826	12.379	0.3291	1.3243	1.022	7	2024	10	281	0	1
other_agaricoid	Panellus ringens	63.054144	21.592253	226830.72	7003125.594	1	-4.6293	-6.3359	-6.3306	-15.5051	4.9194	0.8867	0.456	1.2186	5	2023	12	352	0	1
boletus_edulis	Boletus edulis	63.042672	21.596258	226925.182	7001833.729	1	18.4676	17.8752	17.1904	10.0412	30.6911	2.5656	3.9881	3.1179	11	2023	8	223	1	1
other_agaricoid	Gomphidius glutinosus	63.049383	21.607908	227575.625	7002530.001	1	13.1953	13.4957	13.7358	7.3005	16.3849	3.3782	2.8309	2.9567	9	2023	10	274	0	1
boletus_edulis	Boletus edulis	63.051892	21.609986	227703.878	7002800.002	1	17.0117	17.9829	17.218	11.0736	22.9226	1.8295	3.6123	3.4716	9	2023	8	228	1	1
boletus_edulis	Boletus edulis	63.038242	21.610269	227590.584	7001281.921	1	17.2085	16.5496	16.6272	11.7835	23.4536	4.4671	4.8906	2.595	10	2023	8	217	1	1
boletus_edulis	Boletus edulis	63.051975	21.610356	227723.313	7002807.656	1	17.0117	17.9829	17.218	11.0736	22.9226	1.8295	3.6123	3.4716	9	2023	8	228	1	1
boletus_edulis	Boletus edulis	63.052044	21.610472	227729.808	7002814.832	1	17.0117	17.9829	17.218	11.0736	22.9226	1.8295	3.6123	3.4716	9	2023	8	228	1	1
boletus_edulis	Boletus edulis	63.037947	21.611103	227629.907	7001245.6	1	18.6834	17.7289	17.1116	9.963	30.5835	5.7223	5.818	3.08	11	2023	8	220	1	1
boletus_edulis	Boletus edulis	63.274524	21.617422	230158.903	7027509.085	1000	16.0758	16.5002	17.2621	12.3043	21.3413	4.0383	2.7187	2.4535	10	2024	8	244	1	1
other_agaricoid	Tricholomopsis rutilans	63.274524	21.617422	230158.903	7027509.085	1000	16.0758	16.5002	17.2621	12.3043	21.3413	4.0383	2.7187	2.4535	10	2024	8	244	0	1
other_agaricoid	Tricholoma virgatum	63.274524	21.617422	230158.903	7027509.085	1000	16.0758	16.5002	17.2621	12.3043	21.3413	4.0383	2.7187	2.4535	10	2024	8	244	0	1
other_agaricoid	Xeromphalina campanella	62.982247	21.617983	227457.399	6995026.628	1	18.0976	18.2425	15.8605	11.4903	26.3598	1.5455	1.0825	0.6402	6	2023	7	183	0	1
boletus_edulis	Boletus edulis	63.054458	21.619497	228207.466	7003044.85	1	17.0117	17.9829	17.218	11.0736	22.9226	1.8295	3.6123	3.4716	9	2023	8	228	1	1
other_agaricoid	Inocybe mixtilis	60.924548	21.621242	208621.903	6766349.476	1000	4.2251	5.4426	7.0036	-2.9282	10.5496	0.6007	3.6508	3.0567	9	2019	10	284	0	1
other_agaricoid	Pseudosperma rimosum	60.924548	21.621242	208621.903	6766349.476	1000	4.2251	5.4426	7.0036	-2.9282	10.5496	0.6007	3.6508	3.0567	9	2019	10	284	0	1
boletus_edulis	Boletus edulis	63.08199	21.62251	228616.17	7006091.677	100	14.2826	14.8342	15.3232	6.3092	20.8951	0.6121	3.7316	3.0837	9	2026	8	236	1	1
boletus_edulis	Boletus edulis	60.921216	21.62557	208825.551	6765959.956	1000	4.3907	5.6188	7.1712	-2.9531	10.737	0.6153	3.6201	3.0334	9	2019	10	284	1	1
other_agaricoid	Amanita submembranacea	60.921216	21.62557	208825.551	6765959.956	1000	4.3907	5.6188	7.1712	-2.9531	10.737	0.6153	3.6201	3.0334	9	2019	10	284	0	1
other_agaricoid	Lentinus ciliatus	63.034911	21.626964	228401.893	7000841.027	1	11.7532	13.5244	14.9553	6.0767	18.311	6.6318	3.9376	2.0342	8	2024	6	167	0	1
