observation_id,species,scientific_name,date,year,country,province,accuracy_m,latitude,longitude,etrs_northing,etrs_easting,reliability,collection_quality,record_type,source_collection,grid_id
http://id.luomus.fi/MY.3349143,herkkutatti (fi) — Boletus edulis,Boletus edulis,1865-01-01,1865,Suomi,Varsinais-Suomi (V),50000.0,60.411837,21.80685,6708589.0,214073.0,NEUTRAL,PROFESSIONAL,Preserved specimen,Agaricales Fennoscandiae orientalis,ETRS-TM35FIN-1km-N6708000-E214000
http://id.luomus.fi/MY.3358034,herkkutatti (fi) — Boletus edulis,Boletus edulis,1866-08-01 - 1866-08-31,1866,Suomi,Etelä-Häme (EH),1000.0,60.816478,23.771034,6746668.0,324401.0,NEUTRAL,PROFESSIONAL,Preserved specimen,"Exsiccatae, fungi",ETRS-TM35FIN-1km-N6746000-E324000
http://id.luomus.fi/MY.3349146,herkkutatti (fi) — Boletus edulis,Boletus edulis,1870-09-01 - 1870-09-30,1870,Suomi,Etelä-Häme (EH),1000.0,60.816478,23.771034,6746668.0,324401.0,NEUTRAL,PROFESSIONAL,Preserved specimen,Agaricales Fennoscandiae orientalis,ETRS-TM35FIN-1km-N6746000-E324000
http://tun.fi/MY.1127834,herkkutatti (fi) — Boletus edulis,Boletus edulis,1969-09-13,1969,Suomi,Oulun Pohjanmaa (OP),10000.0,65.114913,25.61248,7221977.0,434855.0,NEUTRAL,HOBBYIST,Preserved specimen,KUO Fungal collections,ETRS-TM35FIN-1km-N7221000-E434000
http://tun.fi/MY.1127798,herkkutatti (fi) — Boletus edulis,Boletus edulis,1971-08-15,1971,Suomi,Pohjois-Savo (PS),100000.0,62.998091,27.826245,6985986.0,542430.0,NEUTRAL,HOBBYIST,Preserved specimen,KUO Fungal collections,ETRS-TM35FIN-1km-N6985000-E542000
http://tun.fi/MY.1127806,herkkutatti (fi) — Boletus edulis,Boletus edulis,1973-08-23,1973,Suomi,Pohjois-Savo (PS),1000.0,62.971121,27.716237,6982574.0,536315.0,NEUTRAL,HOBBYIST,Preserved specimen,KUO Fungal collections,ETRS-TM35FIN-1km-N6982000-E536000
http://tun.fi/MY.1127810,herkkutatti (fi) — Boletus edulis,Boletus edulis,1974-07-29,1974,Suomi,Pohjois-Savo (PS),1000.0,62.834757,28.007292,6967580.0,551309.0,NEUTRAL,HOBBYIST,Preserved specimen,KUO Fungal collections,ETRS-TM35FIN-1km-N6967000-E551000
http://tun.fi/MY.1127802,herkkutatti (fi) — Boletus edulis,Boletus edulis,1974-09-15,1974,Suomi,Pohjois-Savo (PS),1000.0,62.881508,27.694397,6972578.0,535315.0,NEUTRAL,HOBBYIST,Preserved specimen,KUO Fungal collections,ETRS-TM35FIN-1km-N6972000-E535000
http://id.luomus.fi/MY.12187390,herkkutatti (fi) — Boletus edulis,Boletus edulis,1976-09-26,1976,Suomi,Uusimaa (U),1.0,60.0,23.75,6655865.0,318772.0,NEUTRAL,PROFESSIONAL,Preserved specimen,Agaricales Fennoscandiae orientalis,ETRS-TM35FIN-1km-N6655000-E318000
http://tun.fi/MY.1127794,herkkutatti (fi) — Boletus edulis,Boletus edulis,1977-07-31,1977,Suomi,Etelä-Karjala (EK),50000.0,60.536084,27.285974,6711206.0,515840.0,NEUTRAL,HOBBYIST,Preserved specimen,KUO Fungal collections,ETRS-TM35FIN-1km-N6711000-E515000
http://id.luomus.fi/MY.3269820,herkkutatti (fi) — Boletus edulis,Boletus edulis,1977-09-18,1977,Suomi,Varsinais-Suomi (V),1000.0,59.978265,23.010522,6655704.0,277420.0,NEUTRAL,PROFESSIONAL,Preserved specimen,Agaricales Fennoscandiae orientalis,ETRS-TM35FIN-1km-N6655000-E277000
http://tun.fi/MHU.21490985,herkkutatti (fi) — Boletus edulis,Boletus edulis,1979-07-29,1979,Suomi,Pohjois-Karjala (PK),100.0,62.782823,30.936827,6967530.0,700798.0,NEUTRAL,HOBBYIST,Observation,Hatikka.fi observations,ETRS-TM35FIN-1km-N6967000-E700000
http://tun.fi/MY.1127814,herkkutatti (fi) — Boletus edulis,Boletus edulis,1979-08-09,1979,Suomi,Pohjois-Karjala (PK),1000.0,62.605337,29.733088,6944590.0,640273.0,NEUTRAL,HOBBYIST,Preserved specimen,KUO Fungal collections,ETRS-TM35FIN-1km-N6944000-E640000
http://tun.fi/MHU.21386989,herkkutatti (fi) — Boletus edulis,Boletus edulis,1981-06-15,1981,Suomi,Pohjois-Karjala (PK),1000.0,62.737169,30.978723,6962583.0,703248.0,NEUTRAL,HOBBYIST,Observation,Hatikka.fi observations,ETRS-TM35FIN-1km-N6962000-E703000
http://tun.fi/MHU.21438953,herkkutatti (fi) — Boletus edulis,Boletus edulis,1981-06-21,1981,Suomi,Pohjois-Karjala (PK),1000.0,62.737169,30.978723,6962583.0,703248.0,NEUTRAL,HOBBYIST,Observation,Hatikka.fi observations,ETRS-TM35FIN-1km-N6962000-E703000
http://tun.fi/MHU.21488707,herkkutatti (fi) — Boletus edulis,Boletus edulis,1981-06-22,1981,Suomi,Pohjois-Karjala (PK),1000.0,62.737169,30.978723,6962583.0,703248.0,NEUTRAL,HOBBYIST,Observation,Hatikka.fi observations,ETRS-TM35FIN-1km-N6962000-E703000
http://id.luomus.fi/MY.3261245,herkkutatti (fi) — Boletus edulis,Boletus edulis,1986-08-31,1986,Suomi,Uusimaa (U),100.0,60.174673,24.7203,6673048.0,373531.0,NEUTRAL,PROFESSIONAL,Preserved specimen,Agaricales Fennoscandiae orientalis,ETRS-TM35FIN-1km-N6673000-E373000
http://id.luomus.fi/MY.3366375,herkkutatti (fi) — Boletus edulis,Boletus edulis,1986-09-09,1986,Suomi,Varsinais-Suomi (V),50000.0,60.415996,24.387556,6700621.0,356069.0,NEUTRAL,PROFESSIONAL,Preserved specimen,Agaricales Fennoscandiae orientalis,ETRS-TM35FIN-1km-N6700000-E356000
http://tun.fi/MHU.28879603,herkkutatti (fi) — Boletus edulis,Boletus edulis,1987-07-01,1987,Suomi,Pohjois-Karjala (PK),1000.0,62.62584,31.100376,6950588.0,710245.0,NEUTRAL,HOBBYIST,Observation,Hatikka.fi observations,ETRS-TM35FIN-1km-N6950000-E710000
http://tun.fi/MHU.28879642,herkkutatti (fi) — Boletus edulis,Boletus edulis,1987-07-03,1987,Suomi,Pohjois-Karjala (PK),1000.0,62.727664,30.997023,6961583.0,704247.0,NEUTRAL,HOBBYIST,Observation,Hatikka.fi observations,ETRS-TM35FIN-1km-N6961000-E704000
http://tun.fi/MHU.28893649,herkkutatti (fi) — Boletus edulis,Boletus edulis,1988-08-13,1988,Suomi,Pohjois-Karjala (PK),100.0,62.734682,30.987201,6962333.0,703697.0,NEUTRAL,HOBBYIST,Observation,Hatikka.fi observations,ETRS-TM35FIN-1km-N6962000-E703000
http://id.luomus.fi/MY.3269868,herkkutatti (fi) — Boletus edulis,Boletus edulis,1990-07-29,1990,Suomi,Uusimaa (U),1000.0,60.292472,24.980697,6685693.0,388376.0,NEUTRAL,PROFESSIONAL,Preserved specimen,Agaricales Fennoscandiae orientalis,ETRS-TM35FIN-1km-N6685000-E388000
http://id.luomus.fi/MY.3306429,herkkutatti (fi) — Boletus edulis,Boletus edulis,1990-08-03,1990,Suomi,Uusimaa (U),1000.0,60.156544,24.394592,6671698.0,355389.0,NEUTRAL,PROFESSIONAL,Preserved specimen,Agaricales Fennoscandiae orientalis,ETRS-TM35FIN-1km-N6671000-E355000
http://id.luomus.fi/MY.12187410,herkkutatti (fi) — Boletus edulis,Boletus edulis,1990-08-27,1990,Suomi,Uusimaa (U),100.0,60.291002,24.972649,6685543.0,387926.0,NEUTRAL,PROFESSIONAL,Preserved specimen,Agaricales Fennoscandiae orientalis,ETRS-TM35FIN-1km-N6685000-E387000
http://tun.fi/MHU.20556137,herkkutatti (fi) — Boletus edulis,Boletus edulis,1991-06-10,1991,Suomi,Pohjois-Karjala (PK),1000.0,62.709206,31.014094,6959584.0,705247.0,NEUTRAL,HOBBYIST,Observation,Hatikka.fi observations,ETRS-TM35FIN-1km-N6959000-E705000
http://tun.fi/MY.1127826,herkkutatti (fi) — Boletus edulis,Boletus edulis,1991-07-31,1991,Suomi,Pohjois-Savo (PS),1000.0,62.864175,27.55648,6970579.0,528318.0,NEUTRAL,HOBBYIST,Preserved specimen,KUO Fungal collections,ETRS-TM35FIN-1km-N6970000-E528000
http://tun.fi/KE.921/LGE.249227/462516,herkkutatti (fi) — Boletus edulis,Boletus edulis,1991-08-17 - 1991-08-18,1991,Suomi,Satakunta (St),1.0,61.812354,21.664385,6864820.0,219044.0,NEUTRAL,PROFESSIONAL,Observation,LajiGIS: Species monitoring sites,ETRS-TM35FIN-1km-N6864000-E219000
http://id.luomus.fi/MY.3345484,herkkutatti (fi) — Boletus edulis,Boletus edulis,1991-09-15,1991,Suomi,Etelä-Häme (EH),1000.0,61.020066,24.472078,6767660.0,363385.0,NEUTRAL,PROFESSIONAL,Preserved specimen,Agaricales Fennoscandiae orientalis,ETRS-TM35FIN-1km-N6767000-E363000
http://id.luomus.fi/MY.3290224,herkkutatti (fi) — Boletus edulis,Boletus edulis,1992-08-30,1992,Suomi,Uusimaa (U),1000.0,60.173305,24.825825,6672698.0,379379.0,NEUTRAL,PROFESSIONAL,Preserved specimen,Agaricales Fennoscandiae orientalis,ETRS-TM35FIN-1km-N6672000-E379000
http://id.luomus.fi/MY.3290230,Boletus edulis var. citrinus,,1992-09-06,1992,Suomi,Uusimaa (U),1000.0,60.292472,24.980697,6685693.0,388376.0,NEUTRAL,PROFESSIONAL,Preserved specimen,Agaricales Fennoscandiae orientalis,ETRS-TM35FIN-1km-N6685000-E388000
http://id.luomus.fi/MY.3871768,herkkutatti (fi) — Boletus edulis,Boletus edulis,1992-09-06,1992,Suomi,Uusimaa (U),100.0,60.276513,24.964507,6683943.0,387426.0,NEUTRAL,PROFESSIONAL,Preserved specimen,Agaricales Fennoscandiae orientalis,ETRS-TM35FIN-1km-N6683000-E387000
http://id.luomus.fi/MY.3261173,herkkutatti (fi) — Boletus edulis,Boletus edulis,1992-09-08,1992,Suomi,Uusimaa (U),1000.0,60.02121,23.579786,6658703.0,309407.0,NEUTRAL,PROFESSIONAL,Preserved specimen,Agaricales Fennoscandiae orientalis,ETRS-TM35FIN-1km-N6658000-E309000
http://id.luomus.fi/MY.3290389,herkkutatti (fi) — Boletus edulis,Boletus edulis,1992-09-12,1992,Suomi,Uusimaa (U),1000.0,60.292472,24.980697,6685693.0,388376.0,NEUTRAL,PROFESSIONAL,Preserved specimen,Agaricales Fennoscandiae orientalis,ETRS-TM35FIN-1km-N6685000-E388000
http://id.luomus.fi/MY.3290227,herkkutatti (fi) — Boletus edulis,Boletus edulis,1992-09-13,1992,Suomi,Uusimaa (U),1000.0,60.173305,24.825825,6672698.0,379379.0,NEUTRAL,PROFESSIONAL,Preserved specimen,Agaricales Fennoscandiae orientalis,ETRS-TM35FIN-1km-N6672000-E379000
http://id.luomus.fi/MY.3261185,herkkutatti (fi) — Boletus edulis,Boletus edulis,1992-10-02,1992,Suomi,Uusimaa (U),1000.0,60.292472,24.980697,6685693.0,388376.0,NEUTRAL,PROFESSIONAL,Preserved specimen,Agaricales Fennoscandiae orientalis,ETRS-TM35FIN-1km-N6685000-E388000
http://id.luomus.fi/MY.3261179,herkkutatti (fi) — Boletus edulis,Boletus edulis,1993-09-11,1993,Suomi,Uusimaa (U),1000.0,60.292472,24.980697,6685693.0,388376.0,NEUTRAL,PROFESSIONAL,Preserved specimen,Agaricales Fennoscandiae orientalis,ETRS-TM35FIN-1km-N6685000-E388000
http://id.luomus.fi/MY.3290305,herkkutatti (fi) — Boletus edulis,Boletus edulis,1994-09-14,1994,Suomi,Uusimaa (U),10000.0,60.167466,24.745126,6672198.0,374881.0,NEUTRAL,PROFESSIONAL,Preserved specimen,Agaricales Fennoscandiae orientalis,ETRS-TM35FIN-1km-N6672000-E374000
